Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,562.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,80.356,149.806,219.097,288.174,357.794,427.296,525.78,562.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment Times,01:20.4,01:09.4,01:09.3,01:09.1,01:09.6,01:09.5,01:38.5,00:37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,°C,V, , ,rpm,km/h,gear,°C,°C,°C,°C,bar,bar,%,%,%,deg,lambda,g,g,%,V,g,m,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0,0
0.05,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0018,0
0.1,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0036,0
0.15,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0054,0
0.2,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0072,0
0.25,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.009,0
0.3,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0108,0
0.35,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0126,0
0.4,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0144,0
0.45,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0162,0
0.5,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.018,0
0.55,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0198,0
0.6,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0216,0
0.65,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0234,0
0.7,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0252,0
0.75,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.027,0
0.8,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0288,0
0.85,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0306,0
0.9,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0324,0
0.95,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0343,0
1,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0361,0
1.05,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0379,0
1.1,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0397,0
1.15,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0415,0
1.2,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0433,0
1.25,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0451,0
1.3,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0469,0
1.35,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0487,0
1.4,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0505,0
1.45,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0523,0
1.5,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0541,0
1.55,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0559,0
1.6,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0577,0
1.65,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0595,0
1.7,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0613,0
1.75,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0631,0
1.8,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0649,0
1.85,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0667,0
1.9,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0685,0
1.95,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0703,0
2,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0721,0
2.05,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0739,0
2.1,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0757,0
2.15,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0775,0
2.2,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0793,0
2.25,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0811,0
2.3,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0829,0
2.35,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0847,0
2.4,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0865,0
2.45,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0883,0
2.5,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0901,0
2.55,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0919,0
2.6,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0937,0
2.65,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0955,0
2.7,0.1298,15,0,0,-2.0229,-147.2529,0,321.2082,15,0.12,10000,10.90060461,77.05043055,48.4787,3.8256,-1,-1,1230,0,1,100.2,50,50,108,1.81,-0.19,-1,-72,0,2,0,0.05,-0.05,0,12.2,0,0.0973,0
