Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,84.7,159.948,232.269,303.252,372.743,442.36,511.191,581.397,649.906,734.443,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment Times,01:24.7,01:15.2,01:12.3,01:11.0,01:09.5,01:09.6,01:08.8,01:10.2,01:08.5,01:24.5,01:19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,°C,V, , ,rpm,km/h,gear,°C,°C,°C,°C,bar,bar,%,%,%,deg,lambda,g,g,%,V,g,m,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,0,0
0.05,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,0.6531,0.6528
0.1,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,1.3062,1.3056
0.15,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,1.9592,1.9583
0.2,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,2.6123,2.6111
0.25,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,3.2654,3.2639
0.3,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,3.9185,3.9167
0.35,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,4.5715,4.5694
0.4,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,5.2246,5.2222
0.45,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,5.8777,5.875
0.5,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,6.5308,6.5278
0.55,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,7.1838,7.1806
0.6,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,7.8369,7.8333
0.65,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,8.49,8.4861
0.7,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,9.1431,9.1389
0.75,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,9.7961,9.7917
